player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date
VVS Laxman,12,27,18,2,0,66.66,2,,Test v England,Bengaluru,19 Dec 2001,
SR Tendulkar,90,263,198,13,0,45.45,2,,Test v England,Bengaluru,19 Dec 2001,
R Dravid,3,73,61,0,0,4.91,2,,Test v England,Bengaluru,19 Dec 2001,
SC Ganguly,0,7,3,0,0,0.00,2,,Test v England,Bengaluru,19 Dec 2001,
V Sehwag,66,123,88,13,0,75.00,2,,Test v England,Bengaluru,19 Dec 2001,
A Kumble,14,77,42,2,0,33.33,2,,Test v England,Bengaluru,19 Dec 2001,
Harbhajan Singh,8,36,27,0,0,29.62,2,,Test v England,Bengaluru,19 Dec 2001,
Sarandeep Singh,4,21,16,0,0,25.00,2,,Test v England,Bengaluru,19 Dec 2001,
J Srinath,2*,8,5,0,0,40.00,2,,Test v England,Bengaluru,19 Dec 2001,
SC Ganguly,42,86,58,4,1,72.41,1,,ODI v England,Kolkata,19 Jan 2002,
SR Tendulkar,36,71,43,6,0,83.72,1,,ODI v England,Kolkata,19 Jan 2002,
D Mongia,71,120,75,7,1,94.66,1,,ODI v England,Kolkata,19 Jan 2002,
VVS Laxman,25,36,31,2,0,80.64,1,,ODI v England,Kolkata,19 Jan 2002,
V Sehwag,29,42,37,5,0,78.37,1,,ODI v England,Kolkata,19 Jan 2002,
HK Badani,35,58,33,3,0,106.06,1,,ODI v England,Kolkata,19 Jan 2002,
AB Agarkar,2,3,2,0,0,100.00,1,,ODI v England,Kolkata,19 Jan 2002,
A Ratra,2,2,2,0,0,100.00,1,,ODI v England,Kolkata,19 Jan 2002,
Harbhajan Singh,18*,26,21,2,0,85.71,1,,ODI v England,Kolkata,19 Jan 2002,
A Kumble,0*,1,1,0,0,0.00,1,,ODI v England,Kolkata,19 Jan 2002,
J Srinath,DNB,-,-,-,-,-,1,,ODI v England,Kolkata,19 Jan 2002,
SC Ganguly,14,17,15,3,0,93.33,2,,ODI v England,Cuttack,22 Jan 2002,
SR Tendulkar,45,101,60,6,0,75.00,2,,ODI v England,Cuttack,22 Jan 2002,
D Mongia,49,127,82,4,0,59.75,2,,ODI v England,Cuttack,22 Jan 2002,
VVS Laxman,3,10,6,0,0,50.00,2,,ODI v England,Cuttack,22 Jan 2002,
V Sehwag,5,11,10,0,0,50.00,2,,ODI v England,Cuttack,22 Jan 2002,
HK Badani,13,30,17,2,0,76.47,2,,ODI v England,Cuttack,22 Jan 2002,
A Ratra,30,36,40,3,0,75.00,2,,ODI v England,Cuttack,22 Jan 2002,
AB Agarkar,29,65,26,3,0,111.53,2,,ODI v England,Cuttack,22 Jan 2002,
Harbhajan Singh,6,3,6,1,0,100.00,2,,ODI v England,Cuttack,22 Jan 2002,
A Kumble,20,28,26,1,0,76.92,2,,ODI v England,Cuttack,22 Jan 2002,
J Srinath,7*,7,8,0,0,87.50,2,,ODI v England,Cuttack,22 Jan 2002,
SR Tendulkar,68,110,79,10,0,86.07,2,,ODI v England,Chennai,25 Jan 2002,
V Sehwag,51,81,58,8,0,87.93,2,,ODI v England,Chennai,25 Jan 2002,
VVS Laxman,26,67,53,2,0,49.05,2,,ODI v England,Chennai,25 Jan 2002,
D Mongia,21,41,26,2,1,80.76,2,,ODI v England,Chennai,25 Jan 2002,
HK Badani,12,42,20,1,0,60.00,2,,ODI v England,Chennai,25 Jan 2002,
SB Bangar,1,5,5,0,0,20.00,2,,ODI v England,Chennai,25 Jan 2002,
A Ratra,29*,46,32,4,0,90.62,2,,ODI v England,Chennai,25 Jan 2002,
AB Agarkar,6*,12,8,0,0,75.00,2,,ODI v England,Chennai,25 Jan 2002,
A Kumble,DNB,-,-,-,-,-,2,,ODI v England,Chennai,25 Jan 2002,
J Srinath,DNB,-,-,-,-,-,2,,ODI v England,Chennai,25 Jan 2002,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v England,Chennai,25 Jan 2002,
SR Tendulkar,87*,120,67,13,1,129.85,2,,ODI v England,Kanpur,28 Jan 2002,
V Sehwag,82,70,62,14,0,132.25,2,,ODI v England,Kanpur,28 Jan 2002,
SC Ganguly,26,26,32,5,0,81.25,2,,ODI v England,Kanpur,28 Jan 2002,
D Mongia,17*,19,17,3,0,100.00,2,,ODI v England,Kanpur,28 Jan 2002,
A Kumble,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
J Srinath,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
AB Agarkar,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
HK Badani,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
M Kaif,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
A Ratra,DNB,-,-,-,-,-,2,,ODI v England,Kanpur,28 Jan 2002,
V Sehwag,42,49,36,7,0,116.66,2,,ODI v England,Delhi,31 Jan 2002,
SR Tendulkar,18,20,16,3,0,112.50,2,,ODI v England,Delhi,31 Jan 2002,
SC Ganguly,74,149,95,5,3,77.89,2,,ODI v England,Delhi,31 Jan 2002,
D Mongia,20,40,33,2,0,60.60,2,,ODI v England,Delhi,31 Jan 2002,
M Kaif,46,83,64,3,0,71.87,2,,ODI v England,Delhi,31 Jan 2002,
HK Badani,2,10,7,0,0,28.57,2,,ODI v England,Delhi,31 Jan 2002,
A Ratra,10,15,12,1,0,83.33,2,,ODI v England,Delhi,31 Jan 2002,
AB Agarkar,36*,30,24,4,0,150.00,2,,ODI v England,Delhi,31 Jan 2002,
A Kumble,2,5,6,0,0,33.33,2,,ODI v England,Delhi,31 Jan 2002,
Sarandeep Singh,6*,15,8,0,0,75.00,2,,ODI v England,Delhi,31 Jan 2002,
J Srinath,DNB,-,-,-,-,-,2,,ODI v England,Delhi,31 Jan 2002,
V Sehwag,31,59,29,4,1,106.89,2,,ODI v England,Mumbai,3 Feb 2002,
SR Tendulkar,12,22,18,1,1,66.66,2,,ODI v England,Mumbai,3 Feb 2002,
SC Ganguly,80,128,99,4,4,80.80,2,,ODI v England,Mumbai,3 Feb 2002,
D Mongia,35,61,56,3,0,62.50,2,,ODI v England,Mumbai,3 Feb 2002,
M Kaif,20,41,36,2,0,55.55,2,,ODI v England,Mumbai,3 Feb 2002,
HK Badani,27*,65,32,2,0,84.37,2,,ODI v England,Mumbai,3 Feb 2002,

A Ratra,8,17,14,0,0,57.14,2,,ODI v England,Mumbai,3 Feb 2002,
AB Agarkar,0,2,2,0,0,0.00,2,,ODI v England,Mumbai,3 Feb 2002,
Harbhajan Singh,5,15,11,1,0,45.45,2,,ODI v England,Mumbai,3 Feb 2002,
A Kumble,5,8,6,0,0,83.33,2,,ODI v England,Mumbai,3 Feb 2002,
J Srinath,0,1,1,0,0,0.00,2,,ODI v England,Mumbai,3 Feb 2002,
SS Das,105,292,203,19,0,51.72,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
D Dasgupta,33,121,98,2,1,33.67,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
R Dravid,65,235,179,8,0,36.31,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
SR Tendulkar,176,440,316,23,0,55.69,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
SC Ganguly,38,149,99,7,0,38.38,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
VVS Laxman,13,63,47,2,0,27.65,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
SB Bangar,100*,184,155,12,2,64.51,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
Z Khan,0,2,2,0,0,0.00,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
A Kumble,13*,18,15,1,0,86.66,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
J Srinath,DNB,-,-,-,-,-,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
Harbhajan Singh,DNB,-,-,-,-,-,2,,Test v Zimbabwe,Nagpur,21 Feb 2002,
SS Das,13,37,29,2,0,44.82,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
D Dasgupta,19,95,57,4,0,33.33,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
SC Ganguly,136,456,284,21,1,47.88,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
SR Tendulkar,36,124,119,5,0,30.25,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
R Dravid,1,13,8,0,0,12.50,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
V Sehwag,74,145,118,16,0,62.71,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
SB Bangar,4,27,15,1,0,26.66,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
A Kumble,34*,127,108,6,0,31.48,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
J Srinath,0,21,15,0,0,0.00,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
Harbhajan Singh,9,18,16,2,0,56.25,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
Z Khan,8,16,11,1,0,72.72,2,,Test v Zimbabwe,Delhi,28 Feb 2002,
SS Das,31,171,126,2,0,24.60,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
D Dasgupta,1,9,5,0,0,20.00,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
SC Ganguly,20,53,32,4,0,62.50,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
A Kumble,0,1,1,0,0,0.00,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
SR Tendulkar,42,78,52,7,1,80.76,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
R Dravid,6,35,22,1,0,27.27,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
SB Bangar,3*,36,21,0,0,14.28,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
Harbhajan Singh,14*,23,17,2,1,82.35,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
J Srinath,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
Z Khan,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
V Sehwag,DNB,-,-,-,-,-,4,,Test v Zimbabwe,Delhi,28 Feb 2002,
D Mongia,25,40,24,4,0,104.16,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
SC Ganguly,57,102,70,6,2,81.42,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
VVS Laxman,75,127,99,5,0,75.75,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
R Dravid,23,43,34,2,0,67.64,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
M Kaif,39*,67,45,4,0,86.66,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
SB Bangar,0,2,2,0,0,0.00,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
A Ratra,6,13,9,0,0,66.66,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
AB Agarkar,40*,26,19,6,1,210.52,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
A Kumble,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
Harbhajan Singh,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
Z Khan,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Faridabad,7 Mar 2002,
D Mongia,45,83,52,9,0,86.53,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
SC Ganguly,86,144,83,8,3,103.61,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
VVS Laxman,52,100,72,3,0,72.22,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
R Dravid,66*,82,59,6,0,111.86,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
M Kaif,15,17,19,1,0,78.94,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
AB Agarkar,6,9,7,0,0,85.71,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
SB Bangar,0,1,1,0,0,0.00,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
Harbhajan Singh,15*,8,9,2,0,166.66,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
A Kumble,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
Z Khan,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
A Ratra,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Mohali,10 Mar 2002,
D Mongia,4,18,14,0,0,28.57,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
SC Ganguly,11,60,21,1,0,52.38,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
VVS Laxman,20,30,24,3,0,83.33,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
R Dravid,6,16,11,1,0,54.54,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
M Kaif,56,120,78,2,1,71.79,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
SB Bangar,36,87,67,3,0,53.73,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
A Ratra,3,12,12,0,0,25.00,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
AB Agarkar,3,8,7,0,0,42.85,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
Harbhajan Singh,24*,36,28,3,0,85.71,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
Sarandeep Singh,3,12,17,0,0,17.64,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
Z Khan,2,18,13,0,0,15.38,1,,ODI v Zimbabwe,Kochi,13 Mar 2002,
D Mongia,30,50,32,5,0,93.75,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
SC Ganguly,7,25,16,1,0,43.75,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
VVS Laxman,13,31,21,2,0,61.90,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
R Dravid,32,81,56,0,0,57.14,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
M Kaif,68,143,101,3,0,67.32,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
Yuvraj Singh,80*,74,60,8,1,133.33,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
AB Agarkar,5*,6,3,1,0,166.66,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
M Kartik,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
Z Khan,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
A Ratra,DNB,-,-,-,-,-,2,,ODI v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,
D Mongia,159*,233,147,17,1,108.16,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
SC Ganguly,28,50,31,4,0,90.32,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
VVS Laxman,16,43,27,2,0,59.25,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
R Dravid,26,34,33,1,0,78.78,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
M Kaif,5,7,6,1,0,83.33,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
Yuvraj Singh,75,81,52,6,3,144.23,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
R Vijay Bharadwaj,0,3,1,0,0,0.00,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
AB Agarkar,6*,3,3,1,0,200.00,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
Harbhajan Singh,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
Z Khan,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
A Ratra,DNB,-,-,-,-,-,1,,ODI v Zimbabwe,Guwahati,19 Mar 2002,
SS Das,33,147,98,3,0,33.67,2,,Test v West Indies,Georgetown,11 Apr 2002,
D Dasgupta,0,8,5,0,0,0.00,2,,Test v West Indies,Georgetown,11 Apr 2002,
SC Ganguly,5,24,12,0,0,41.66,2,,Test v West Indies,Georgetown,11 Apr 2002,
SR Tendulkar,79,191,136,13,0,58.08,2,,Test v West Indies,Georgetown,11 Apr 2002,
R Dravid,144*,436,345,23,0,41.73,2,,Test v West Indies,Georgetown,11 Apr 2002,
VVS Laxman,69,126,113,11,0,61.06,2,,Test v West Indies,Georgetown,11 Apr 2002,
SB Bangar,0,10,8,0,0,0.00,2,,Test v West Indies,Georgetown,11 Apr 2002,
A Kumble,3,12,11,0,0,27.27,2,,Test v West Indies,Georgetown,11 Apr 2002,
Sarandeep Singh,39*,165,120,1,0,32.50,2,,Test v West Indies,Georgetown,11 Apr 2002,
J Srinath,DNB,-,-,-,-,-,2,,Test v West Indies,Georgetown,11 Apr 2002,
Z Khan,DNB,-,-,-,-,-,2,,Test v West Indies,Georgetown,11 Apr 2002,
SS Das,10,33,27,1,0,37.03,1,,Test v West Indies,Port of Spain,19 Apr 2002,
SB Bangar,9,75,43,1,0,20.93,1,,Test v West Indies,Port of Spain,19 Apr 2002,
R Dravid,67,224,147,11,0,45.57,1,,Test v West Indies,Port of Spain,19 Apr 2002,
SR Tendulkar,117,356,260,14,0,45.00,1,,Test v West Indies,Port of Spain,19 Apr 2002,
SC Ganguly,25,73,39,4,0,64.10,1,,Test v West Indies,Port of Spain,19 Apr 2002,
VVS Laxman,69*,193,123,11,0,56.09,1,,Test v West Indies,Port of Spain,19 Apr 2002,
A Ratra,0,11,7,0,0,0.00,1,,Test v West Indies,Port of Spain,19 Apr 2002,
Harbhajan Singh,0,18,6,0,0,0.00,1,,Test v West Indies,Port of Spain,19 Apr 2002,
Z Khan,5,27,20,1,0,25.00,1,,Test v West Indies,Port of Spain,19 Apr 2002,
J Srinath,18,33,23,3,0,78.26,1,,Test v West Indies,Port of Spain,19 Apr 2002,
A Nehra,0,3,3,0,0,0.00,1,,Test v West Indies,Port of Spain,19 Apr 2002,
SS Das,0,18,15,0,0,0.00,3,,Test v West Indies,Port of Spain,19 Apr 2002,
SB Bangar,16,103,62,2,0,25.80,3,,Test v West Indies,Port of Spain,19 Apr 2002,
R Dravid,36,91,62,6,0,58.06,3,,Test v West Indies,Port of Spain,19 Apr 2002,
SR Tendulkar,0,16,4,0,0,0.00,3,,Test v West Indies,Port of Spain,19 Apr 2002,
SC Ganguly,75*,290,227,6,0,33.03,3,,Test v West Indies,Port of Spain,19 Apr 2002,
VVS Laxman,74,228,157,9,0,47.13,3,,Test v West Indies,Port of Spain,19 Apr 2002,
A Ratra,2,24,15,0,0,13.33,3,,Test v West Indies,Port of Spain,19 Apr 2002,
Harbhajan Singh,0,2,1,0,0,0.00,3,,Test v West Indies,Port of Spain,19 Apr 2002,
J Srinath,2,6,4,0,0,50.00,3,,Test v West Indies,Port of Spain,19 Apr 2002,
Z Khan,4,13,7,0,0,57.14,3,,Test v West Indies,Port of Spain,19 Apr 2002,
A Nehra,0,4,1,0,0,0.00,3,,Test v West Indies,Port of Spain,19 Apr 2002,
SS Das,0,1,1,0,0,0.00,1,,Test v West Indies,Bridgetown,2 May 2002,
W Jaffer,12,31,18,3,0,66.66,1,,Test v West Indies,Bridgetown,2 May 2002,
R Dravid,17,79,47,2,0,36.17,1,,Test v West Indies,Bridgetown,2 May 2002,
SR Tendulkar,0,4,2,0,0,0.00,1,,Test v West Indies,Bridgetown,2 May 2002,
SC Ganguly,48,129,76,3,1,63.15,1,,Test v West Indies,Bridgetown,2 May 2002,
VVS Laxman,1,10,10,0,0,10.00,1,,Test v West Indies,Bridgetown,2 May 2002,
A Ratra,1,26,21,0,0,4.76,1,,Test v West Indies,Bridgetown,2 May 2002,
Harbhajan Singh,13,15,14,2,0,92.85,1,,Test v West Indies,Bridgetown,2 May 2002,
Z Khan,4,9,6,1,0,66.66,1,,Test v West Indies,Bridgetown,2 May 2002,
J Srinath,0,13,8,0,0,0.00,1,,Test v West Indies,Bridgetown,2 May 2002,
A Nehra,0*,6,3,0,0,0.00,1,,Test v West Indies,Bridgetown,2 May 2002,
SS Das,35,189,138,3,0,25.36,3,,Test v West Indies,Bridgetown,2 May 2002,
W Jaffer,51,119,75,10,0,68.00,3,,Test v West Indies,Bridgetown,2 May 2002,
R Dravid,14,94,61,0,0,22.95,3,,Test v West Indies,Bridgetown,2 May 2002,
SR Tendulkar,8,32,17,1,0,47.05,3,,Test v West Indies,Bridgetown,2 May 2002,
SC Ganguly,60*,252,146,7,0,41.09,3,,Test v West Indies,Bridgetown,2 May 2002,
VVS Laxman,43,104,88,7,0,48.86,3,,Test v West Indies,Bridgetown,2 May 2002,
A Ratra,13,44,33,2,0,39.39,3,,Test v West Indies,Bridgetown,2 May 2002,
Harbhajan Singh,3,14,10,0,0,30.00,3,,Test v West Indies,Bridgetown,2 May 2002,
Z Khan,46,70,45,4,2,102.22,3,,Test v West Indies,Bridgetown,2 May 2002,
J Srinath,0,1,1,0,0,0.00,3,,Test v West Indies,Bridgetown,2 May 2002,
A Nehra,3,10,8,0,0,37.50,3,,Test v West Indies,Bridgetown,2 May 2002,
SS Das,3,32,28,0,0,10.71,1,,Test v West Indies,St John's,10 May 2002,
W Jaffer,86,260,180,14,0,47.77,1,,Test v West Indies,St John's,10 May 2002,
R Dravid,91,378,291,12,0,31.27,1,,Test v West Indies,St John's,10 May 2002,
SR Tendulkar,0,2,1,0,0,0.00,1,,Test v West Indies,St John's,10 May 2002,
SC Ganguly,45,150,101,4,1,44.55,1,,Test v West Indies,St John's,10 May 2002,
VVS Laxman,130,369,244,14,0,53.27,1,,Test v West Indies,St John's,10 May 2002,
A Kumble,6,43,17,0,0,35.29,1,,Test v West Indies,St John's,10 May 2002,
A Ratra,115*,369,284,12,0,40.49,1,,Test v West Indies,St John's,10 May 2002,
Z Khan,4,17,7,0,0,57.14,1,,Test v West Indies,St John's,10 May 2002,
J Srinath,15,31,27,2,0,55.55,1,,Test v West Indies,St John's,10 May 2002,
A Nehra,1*,10,6,0,0,16.66,1,,Test v West Indies,St John's,10 May 2002,
SS Das,33,141,91,5,0,36.26,2,,Test v West Indies,Kingston,18 May 2002,
W Jaffer,0,20,15,0,0,0.00,2,,Test v West Indies,Kingston,18 May 2002,
R Dravid,5,12,11,0,0,45.45,2,,Test v West Indies,Kingston,18 May 2002,
SR Tendulkar,41,94,63,7,0,65.07,2,,Test v West Indies,Kingston,18 May 2002,
SC Ganguly,36,116,72,6,0,50.00,2,,Test v West Indies,Kingston,18 May 2002,
VVS Laxman,65*,206,152,7,0,42.76,2,,Test v West Indies,Kingston,18 May 2002,
A Ratra,3,21,14,0,0,21.42,2,,Test v West Indies,Kingston,18 May 2002,
Harbhajan Singh,4,12,6,0,0,66.66,2,,Test v West Indies,Kingston,18 May 2002,
Z Khan,6,22,12,0,0,50.00,2,,Test v West Indies,Kingston,18 May 2002,
J Srinath,2,7,7,0,0,28.57,2,,Test v West Indies,Kingston,18 May 2002,
A Nehra,0,44,18,0,0,0.00,2,,Test v West Indies,Kingston,18 May 2002,
SS Das,10,52,33,2,0,30.30,4,,Test v West Indies,Kingston,18 May 2002,
W Jaffer,7,39,36,0,0,19.44,4,,Test v West Indies,Kingston,18 May 2002,
R Dravid,30,79,58,6,0,51.72,4,,Test v West Indies,Kingston,18 May 2002,
SR Tendulkar,86,162,139,13,0,61.87,4,,Test v West Indies,Kingston,18 May 2002,
SC Ganguly,28,114,74,5,0,37.83,4,,Test v West Indies,Kingston,18 May 2002,
VVS Laxman,23,66,39,4,0,58.97,4,,Test v West Indies,Kingston,18 May 2002,
A Ratra,19,110,86,0,0,22.09,4,,Test v West Indies,Kingston,18 May 2002,
Harbhajan Singh,17,32,28,2,0,60.71,4,,Test v West Indies,Kingston,18 May 2002,
Z Khan,12,55,30,1,0,40.00,4,,Test v West Indies,Kingston,18 May 2002,
J Srinath,4,18,14,1,0,28.57,4,,Test v West Indies,Kingston,18 May 2002,
A Nehra,0*,5,3,0,0,0.00,4,,Test v West Indies,Kingston,18 May 2002,
SC Ganguly,41,108,65,5,0,63.07,2,,ODI v West Indies,Bridgetown,29 May 2002,
V Sehwag,21,44,36,3,0,58.33,2,,ODI v West Indies,Bridgetown,29 May 2002,
D Mongia,74,113,104,9,0,71.15,2,,ODI v West Indies,Bridgetown,29 May 2002,
SR Tendulkar,34*,64,45,2,0,75.55,2,,ODI v West Indies,Bridgetown,29 May 2002,
R Dravid,9*,14,16,2,0,56.25,2,,ODI v West Indies,Bridgetown,29 May 2002,
AB Agarkar,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
Harbhajan Singh,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
M Kaif,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
Z Khan,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
Yuvraj Singh,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
T Yohannan,DNB,-,-,-,-,-,2,,ODI v West Indies,Bridgetown,29 May 2002,
SC Ganguly,39,61,44,5,1,88.63,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
V Sehwag,0,2,1,0,0,0.00,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
D Mongia,13,25,12,2,0,108.33,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
VVS Laxman,2,13,5,0,0,40.00,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
Yuvraj Singh,1,6,6,0,0,16.66,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
R Dravid,28,50,36,2,1,77.77,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
M Kaif,12,14,17,1,0,70.58,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
AB Agarkar,0,3,2,0,0,0.00,1,,ODI v West Indies,Port of Spain,1 Jun 2002,
